#Deco_Type|Place_On|FillRatio|Biome|Y_Min|Y_Max|Deco_Node|HeightMax|SpawnBy|NumSpawnBy|||
#||||||||||||
||||||||||||
#Deco_Type|Place_On|FillRatio|Biome|Y_Min|Y_Max|Deco_Node|HeightMax|SpawnBy|NumSpawnBy|||
#HOT HUMID||||||||||||
#OCEAN||||||||||||
#||||||||||||
#BEACH||||||||||||
trees|lib_ecology:tree_mangrove_root|0.8|hot_humid_beach|-2|2|mangrove_01;mangrove_02;mangrove_03;mangrove_04;mangrove_05;mangrove_06||||||
plants|lib_ecology:tree_mangrove_root|0.02|hot_humid_beach|1|2|tree_mangrove_sapling|nil|nil|nil|||
#||||||||||||
#COASTAL||||||||||||
trees|lib_materials:dirt_with_litter_rainforest|0.004|hot_humid|3|coastal|ebony||||||
trees|lib_materials:dirt_with_litter_rainforest|0.004|hot_humid|3|coastal|mahogany||||||
trees|lib_materials:dirt_with_litter_rainforest|0.004|hot_humid|3|coastal|rubber_01;rubber_02;rubber_03;rubber_04||||||
trees|lib_materials:dirt_with_litter_rainforest|0.004|hot_humid|3|coastal|bamboo_tropical_01;bamboo_tropical_02;bamboo_tropical_03;bamboo_tropical_04||||||
trees|lib_materials:dirt_with_litter_rainforest|0.004|hot_humid|3|coastal|palm_fountain_01;palm_fountain_02;palm_fountain_03||||||
trees|lib_materials:dirt_with_litter_rainforest|0.004|hot_humid|3|coastal|palm_jungle_01;palm_jungle_02||||||
trees|lib_materials:dirt_with_litter_rainforest|0.004|hot_humid|3|coastal|palm_moriche_01;palm_moriche_02;palm_moriche_03||||||
trees|lib_materials:dirt_with_litter_rainforest|0.004|hot_humid|3|coastal|bamboo_small||||||
plants|lib_materials:dirt_with_litter_rainforest|0.08|hot_humid|3|coastal|grass_bamboograss||||||
plants|lib_materials:dirt_with_litter_rainforest|0.08|hot_humid|3|coastal|grass_bamboo_grass||||||
plants|lib_materials:dirt_with_litter_rainforest|0.08|hot_humid|3|coastal|grass_jungle||||||
plants|lib_materials:dirt_with_litter_rainforest|0.08|hot_humid|3|coastal|plant_small_jungle_tree||||||
#||||||||||||
trees|lib_materials:dirt_with_litter_fungi|0.005|hot_humid|beach|coastal|mushroom_big-B=mushroom_cap_blue,H=mushroom_01_trunk||||||
trees|lib_materials:dirt_with_litter_fungi|0.005|hot_humid|beach|coastal|mushroom_fat-B=mushroom_cap_red_01,H=mushroom_01_trunk||||||
trees|lib_materials:dirt_with_litter_fungi|0.005|hot_humid|beach|coastal|mushroom_giant_morel-B=mushroom_cap_brown_02,H=mushroom_01_trunk||||||
trees|lib_materials:dirt_with_litter_fungi|0.005|hot_humid|beach|coastal|mushroom_giant_morel_large-B=mushroom_cap_green_spotted,H=mushroom_01_trunk||||||
trees|lib_materials:dirt_with_litter_fungi|0.005|hot_humid|beach|coastal|mushroom_giant_tall-B=mushroom_cap_blue,H=mushroom_01_trunk||||||
trees|lib_materials:dirt_with_litter_fungi|0.005|hot_humid|beach|coastal|mushroom_large-B=mushroom_cap_green_spotted,H=mushroom_01_trunk||||||
trees|lib_materials:dirt_with_litter_fungi|0.005|hot_humid|beach|coastal|mushroom_short-B=mushroom_cap_blue,H=mushroom_01_trunk||||||
trees|lib_materials:dirt_with_litter_fungi|0.005|hot_humid|beach|coastal|mushroom_tall-B=mushroom_cap_blue,H=mushroom_01_trunk||||||
trees|lib_materials:dirt_with_litter_fungi|0.005|hot_humid|beach|coastal|mushroom_3a-B=mushroom_small_cap_01,H=mushroom_small_trunk||||||
trees|lib_materials:dirt_with_litter_fungi|0.005|hot_humid|beach|coastal|mushroom_3b-B=mushroom_small_cap_02,H=mushroom_small_trunk||||||
#||||||||||||
trees|lib_materials:dirt_black_with_litter_rainforest|0.004|hot_humid|3|coastal|ebony||||||
trees|lib_materials:dirt_black_with_litter_rainforest|0.004|hot_humid|3|coastal|mahogany|nil|nil|nil|||
trees|lib_materials:dirt_black_with_litter_rainforest|0.004|hot_humid|3|coastal|rubber_01;rubber_02;rubber_03;rubber_04|nil|nil|nil|||
plants|lib_materials:dirt_brown_with_litter_rainforest|0.08|hot_humid|3|coastal|fern_large_1|nil|nil|nil|||
plants|lib_materials:dirt_brown_with_litter_rainforest|0.08|hot_humid|3|coastal|fern_small_1|nil|nil|nil|||
plants|lib_materials:dirt_brown_with_litter_rainforest|0.08|hot_humid|3|coastal|fern_spikefern|nil|nil|nil|||
plants|lib_materials:dirt_black_with_litter_rainforest|0.001|hot_humid|3|coastal|flower_orchid|nil|nil|nil|||
plants|lib_materials:dirt_black_with_litter_rainforest|0.001|hot_humid|3|coastal|plant_pineapple_plant|nil|nil|nil|||
plants|lib_materials:dirt_black_with_litter_rainforest|0.08|hot_humid|3|coastal|shrub_lush_01|nil|nil|nil|||
plants|lib_materials:dirt_black_with_litter_rainforest|0.08|hot_humid|3|coastal|plant_small_jungle_tree|nil|nil|nil|||
#||||||||||||
trees|lib_materials:dirt_brown_with_litter_rainforest|0.004|hot_humid|3|coastal|ebony||||||
trees|lib_materials:dirt_brown_with_litter_rainforest|0.004|hot_humid|3|coastal|mahogany||||||
trees|lib_materials:dirt_brown_with_litter_rainforest|0.004|hot_humid|3|coastal|palm_fountain_01;palm_fountain_02;palm_fountain_03||||||
trees|lib_materials:dirt_brown_with_litter_rainforest|0.004|hot_humid|3|coastal|palm_jungle_01;palm_jungle_02||||||
trees|lib_materials:dirt_brown_with_litter_rainforest|0.004|hot_humid|3|coastal|palm_moriche_01;palm_moriche_02;palm_moriche_03||||||
plants|lib_materials:dirt_brown_with_litter_rainforest|0.001|hot_humid|3|coastal|flower_hibiscus|nil|nil|nil|||
plants|lib_materials:dirt_brown_with_litter_rainforest|0.001|hot_humid|3|coastal|flower_orchid|nil|nil|nil|||
plants|lib_materials:dirt_brown_with_litter_rainforest|0.001|hot_humid|3|coastal|plant_pineapple_plant|nil|nil|nil|||
plants|lib_materials:dirt_brown_with_litter_rainforest|0.08|hot_humid|3|coastal|shrub_lush_01|nil|nil|nil|||
plants|lib_materials:dirt_brown_with_litter_rainforest|0.08|hot_humid|3|coastal|plant_small_jungle_tree|nil|nil|nil|||
#||||||||||||
trees|lib_materials:dirt_clayey_with_litter_rainforest|0.004|hot_humid|3|coastal|mahogany||||||
trees|lib_materials:dirt_clayey_with_litter_rainforest|0.004|hot_humid|3|coastal|bamboo_tropical_01;bamboo_tropical_02;bamboo_tropical_03;bamboo_tropical_04||||||
trees|lib_materials:dirt_clayey_with_litter_rainforest|0.004|hot_humid|3|coastal|palm_fountain_01;palm_fountain_02;palm_fountain_03||||||
trees|lib_materials:dirt_clayey_with_litter_rainforest|0.004|hot_humid|3|coastal|palm_jungle_01;palm_jungle_02||||||
trees|lib_materials:dirt_clayey_with_litter_rainforest|0.004|hot_humid|3|coastal|palm_moriche_01;palm_moriche_02;palm_moriche_03||||||
trees|lib_materials:dirt_clayey_with_litter_rainforest|0.08|hot_humid|3|coastal|bamboo_small||||||
plants|lib_materials:dirt_clayey_with_litter_rainforest|0.08|hot_humid|3|coastal|grass_bamboograss||||||
plants|lib_materials:dirt_clayey_with_litter_rainforest|0.08|hot_humid|3|coastal|grass_bamboo_grass||||||
plants|lib_materials:dirt_clayey_with_litter_rainforest|0.001|hot_humid|3|coastal|plant_pineapple_plant|nil|nil|nil|||
plants|lib_materials:dirt_clayey_with_litter_rainforest|0.08|hot_humid|3|coastal|shrub_lush_01|nil|nil|nil|||
plants|lib_materials:dirt_clayey_with_litter_rainforest|0.08|hot_humid|3|coastal|plant_small_jungle_tree|nil|nil|nil|||
#||||||||||||
trees|lib_materials:dirt_sandy_with_litter_rainforest|0.004|hot_humid|3|coastal|palm_fountain_01;palm_fountain_02;palm_fountain_03||||||
trees|lib_materials:dirt_sandy_with_litter_rainforest|0.004|hot_humid|3|coastal|palm_jungle_01;palm_jungle_02||||||
trees|lib_materials:dirt_sandy_with_litter_rainforest|0.004|hot_humid|3|coastal|palm_moriche_01;palm_moriche_02;palm_moriche_03||||||
plants|lib_materials:dirt_sandy_with_litter_rainforest|0.001|hot_humid|3|coastal|plant_pineapple_plant|nil|nil|nil|||
plants|lib_materials:dirt_sandy_with_litter_rainforest|0.08|hot_humid|3|coastal|shrub_lush_01|nil|nil|nil|||
plants|lib_materials:dirt_sandy_with_litter_rainforest|0.08|hot_humid|3|coastal|plant_small_jungle_tree|nil|nil|nil|||
#||||||||||||
trees|lib_materials:dirt_silty_with_litter_rainforest|0.004|hot_humid|3|coastal|ebony||||||
trees|lib_materials:dirt_silty_with_litter_rainforest|0.004|hot_humid|3|coastal|rubber_01;rubber_02;rubber_03;rubber_04||||||
plants|lib_materials:dirt_silty_with_litter_rainforest|0.08|hot_humid|3|coastal|fern_large_1||||||
plants|lib_materials:dirt_silty_with_litter_rainforest|0.08|hot_humid|3|coastal|fern_small_1||||||
plants|lib_materials:dirt_silty_with_litter_rainforest|0.08|hot_humid|3|coastal|fern_spikefern||||||
plants|lib_materials:dirt_silty_with_litter_rainforest|0.001|hot_humid|3|coastal|flower_orchid||||||
plants|lib_materials:dirt_silty_with_litter_rainforest|0.001|hot_humid|3|coastal|plant_pineapple_plant||||||
plants|lib_materials:dirt_silty_with_litter_rainforest|0.08|hot_humid|3|coastal|shrub_lush_01||||||
plants|lib_materials:dirt_silty_with_litter_rainforest|0.08|hot_humid|3|coastal|plant_small_jungle_tree||||||
#||||||||||||
plants|lib_materials:dirt_with_grass_hot_humid|0.08|hot_humid|3|coastal|grass_jungle_1;grass_jungle_2;grass_jungle_3;grass_jungle_4;grass_jungle_5|nil|nil|nil|||
plants|lib_materials:dirt_with_grass_hot_humid|0.08|hot_humid|3|coastal|grass_jungle|nil|nil|nil|||
plants|lib_materials:dirt_with_grass_hot_humid|0.004|hot_humid|3|coastal|plant_gourd_bottle_1||||||
plants|lib_materials:dirt_with_grass_hot_humid|0.004|hot_humid|3|coastal|plant_creeper||||||
plants|lib_materials:dirt_with_grass_hot_humid|0.08|hot_humid|3|coastal|shrub_jungle||||||
plants|lib_materials:dirt_with_grass_hot_humid|0.08|hot_humid|3|coastal|plant_small_jungle_tree|nil|nil|nil|||
#||||||||||||
trees|lib_materials:dirt_black_with_grass_hot_humid|0.004|hot_humid|3|coastal|ebony||||||
trees|lib_materials:dirt_black_with_grass_hot_humid|0.004|hot_humid|3|coastal|mahogany||||||
trees|lib_materials:dirt_black_with_grass_hot_humid|0.004|hot_humid|3|coastal|rubber_01;rubber_02;rubber_03;rubber_04||||||
plants|lib_materials:dirt_black_with_grass_hot_humid|0.08|hot_humid|3|coastal|grass_jungle_1;grass_jungle_2;grass_jungle_3;grass_jungle_4;grass_jungle_5||||||
plants|lib_materials:dirt_black_with_grass_hot_humid|0.08|hot_humid|3|coastal|grass_jungle||||||
plants|lib_materials:dirt_black_with_grass_hot_humid|0.001|hot_humid|3|coastal|plant_creeper||||||
plants|lib_materials:dirt_black_with_grass_hot_humid|0.08|hot_humid|3|coastal|shrub_jungle||||||
plants|lib_materials:dirt_black_with_grass_hot_humid|0.08|hot_humid|3|coastal|plant_small_jungle_tree||||||
#||||||||||||
trees|lib_materials:dirt_brown_with_grass_hot_humid|0.004|hot_humid|3|coastal|ebony||||||
trees|lib_materials:dirt_brown_with_grass_hot_humid|0.004|hot_humid|3|coastal|mahogany||||||
trees|lib_materials:dirt_brown_with_grass_hot_humid|0.004|hot_humid|3|coastal|palm_fountain_01;palm_fountain_02;palm_fountain_03||||||
trees|lib_materials:dirt_brown_with_grass_hot_humid|0.004|hot_humid|3|coastal|palm_jungle_01;palm_jungle_02||||||
trees|lib_materials:dirt_brown_with_grass_hot_humid|0.004|hot_humid|3|coastal|palm_moriche_01;palm_moriche_02;palm_moriche_03||||||
